profile,rationing,hypothesis,day,launches_mean,launches_std,n
v1_original,individual,H3,10,8.6,2.425,50
v1_original,individual,H3,11,8.36,2.636,50
v1_original,individual,H3,12,7.38,2.366,50
v1_original,individual,H3,13,7.36,2.269,50
v1_original,individual,H3,14,7.14,2.298,50
v1_original,individual,H3,15,6.84,2.23,50
v1_original,individual,H3,16,7.48,2.476,50
v1_original,individual,H3,17,6.4,2.383,50
v1_original,individual,H3,18,6.26,2.512,50
v1_original,individual,H3,19,6.04,2.126,50
v1_original,individual,H3,20,6.22,2.033,50
v1_original,individual,H3,21,6.38,1.886,50
v1_original,individual,H3,22,6.12,1.681,50
v1_original,individual,H3,23,6.18,2.046,50
v1_original,individual,H3,24,5.28,2.06,50
v1_original,individual,H3,25,5.0,1.844,50
v1_original,individual,H3,26,4.76,1.893,50
v1_original,individual,H3,27,4.16,2.072,50
v1_original,individual,H3,28,4.24,1.477,50
v1_original,individual,H3,29,3.62,1.482,50
v1_original,individual,H3,30,3.22,1.527,50
v1_original,individual,H3,31,3.1,1.459,50
v1_original,individual,H3,32,2.38,1.294,50
v1_original,individual,H3,33,2.52,1.432,50
v1_original,individual,H3,34,2.34,1.227,50
v1_original,individual,H3,35,2.0,1.265,50
v1_original,individual,H3,36,1.66,1.29,50
v1_original,individual,H3,37,1.28,1.04,50
v1_original,individual,H3,38,1.16,0.946,50
v1_original,individual,H3,39,0.8,0.8,50
v1_original,coordinated,H1,0,54.24,5.409,50
v1_original,coordinated,H1,1,39.12,4.991,50
v1_original,coordinated,H1,2,27.38,4.467,50
v1_original,coordinated,H1,3,15.76,3.203,50
v1_original,coordinated,H1,4,12.94,3.397,50
v1_original,coordinated,H1,5,9.28,3.124,50
v1_original,coordinated,H1,6,6.62,2.306,50
v1_original,coordinated,H1,7,5.24,1.893,50
v1_original,coordinated,H1,8,4.3,2.022,50
v1_original,coordinated,H1,9,3.78,1.847,50
v1_original,coordinated,H1,10,3.6,2.107,50
v1_original,coordinated,H1,11,4.16,1.701,50
v1_original,coordinated,H1,12,3.14,1.721,50
v1_original,coordinated,H1,13,3.3,1.591,50
v1_original,coordinated,H1,14,2.88,1.395,50
v1_original,coordinated,H1,15,3.3,1.459,50
v1_original,coordinated,H1,16,2.98,1.619,50
v1_original,coordinated,H1,17,2.82,1.424,50
v1_original,coordinated,H1,18,3.12,1.681,50
v1_original,coordinated,H1,19,2.92,1.61,50
v1_original,coordinated,H1,20,2.6,1.371,50
v1_original,coordinated,H1,21,2.62,1.398,50
v1_original,coordinated,H1,22,2.7,1.459,50
v1_original,coordinated,H1,23,2.48,1.403,50
v1_original,coordinated,H1,24,2.86,1.575,50
v1_original,coordinated,H1,25,2.02,1.304,50
v1_original,coordinated,H1,26,2.4,1.249,50
v1_original,coordinated,H1,27,2.18,1.367,50
v1_original,coordinated,H1,28,1.94,1.271,50
v1_original,coordinated,H1,29,1.64,1.015,50
v1_original,coordinated,H1,30,1.76,1.258,50
v1_original,coordinated,H1,31,1.76,1.335,50
v1_original,coordinated,H1,32,1.14,0.849,50
v1_original,coordinated,H1,33,1.28,1.059,50
v1_original,coordinated,H1,34,0.98,0.99,50
v1_original,coordinated,H1,35,1.02,0.99,50
v1_original,coordinated,H1,36,0.68,0.882,50
v1_original,coordinated,H1,37,0.78,0.901,50
v1_original,coordinated,H1,38,0.74,0.687,50
v1_original,coordinated,H1,39,0.56,0.753,50
v1_original,coordinated,H2,0,52.98,4.752,50
v1_original,coordinated,H2,1,39.3,4.631,50
v1_original,coordinated,H2,2,27.42,4.196,50
v1_original,coordinated,H2,3,15.72,3.25,50
v1_original,coordinated,H2,4,12.32,2.853,50
v1_original,coordinated,H2,5,9.08,2.544,50
v1_original,coordinated,H2,6,6.88,2.075,50
v1_original,coordinated,H2,7,4.88,2.104,50
v1_original,coordinated,H2,8,4.1,1.857,50
v1_original,coordinated,H2,9,4.06,1.805,50
v1_original,coordinated,H2,10,3.96,2.2,50
v1_original,coordinated,H2,11,3.5,1.389,50
v1_original,coordinated,H2,12,3.92,1.73,50
v1_original,coordinated,H2,13,3.16,1.541,50
v1_original,coordinated,H2,14,2.92,1.412,50
v1_original,coordinated,H2,15,3.28,1.55,50
v1_original,coordinated,H2,16,2.7,1.552,50
v1_original,coordinated,H2,17,2.9,1.591,50
v1_original,coordinated,H2,18,3.14,1.575,50
v1_original,coordinated,H2,19,2.72,1.855,50
v1_original,coordinated,H2,20,2.84,1.759,50
v1_original,coordinated,H2,21,2.5,1.187,50
v1_original,coordinated,H2,22,2.66,1.505,50
v1_original,coordinated,H2,23,2.62,1.548,50
v1_original,coordinated,H2,24,2.74,1.262,50
v1_original,coordinated,H2,25,2.44,1.267,50
v1_original,coordinated,H2,26,2.24,1.258,50
v1_original,coordinated,H2,27,1.96,1.28,50
v1_original,coordinated,H2,28,2.0,1.296,50
v1_original,coordinated,H2,29,2.0,1.342,50
v1_original,coordinated,H2,30,1.92,1.278,50
v1_original,coordinated,H2,31,1.36,1.213,50
v1_original,coordinated,H2,32,1.16,0.987,50
v1_original,coordinated,H2,33,1.32,1.174,50
v1_original,coordinated,H2,34,1.16,0.987,50
v1_original,coordinated,H2,35,1.08,0.997,50
v1_original,coordinated,H2,36,0.86,0.749,50
v1_original,coordinated,H2,37,0.76,0.814,50
v1_original,coordinated,H2,38,0.56,0.753,50
v1_original,coordinated,H2,39,0.38,0.525,50
v1_original,coordinated,H3,0,54.56,4.9,50
v1_original,coordinated,H3,1,38.5,6.014,50
v1_original,coordinated,H3,2,28.02,3.977,50
v1_original,coordinated,H3,3,15.82,3.173,50
v1_original,coordinated,H3,4,12.32,3.283,50
v1_original,coordinated,H3,5,9.54,2.547,50
v1_original,coordinated,H3,6,7.14,2.392,50
v1_original,coordinated,H3,7,4.8,1.4,50
v1_original,coordinated,H3,8,4.1,1.868,50
v1_original,coordinated,H3,9,3.88,1.976,50
v1_original,coordinated,H3,10,3.84,1.579,50
v1_original,coordinated,H3,11,3.62,1.821,50
v1_original,coordinated,H3,12,3.26,1.895,50
v1_original,coordinated,H3,13,3.48,1.403,50
v1_original,coordinated,H3,14,3.02,1.349,50
v1_original,coordinated,H3,15,2.9,1.539,50
v1_original,coordinated,H3,16,2.64,1.397,50
v1_original,coordinated,H3,17,3.02,1.655,50
v1_original,coordinated,H3,18,2.9,1.591,50
v1_original,coordinated,H3,19,2.8,1.428,50
v1_original,coordinated,H3,20,3.1,1.5,50
v1_original,coordinated,H3,21,2.8,1.575,50
v1_original,coordinated,H3,22,2.74,1.426,50
v1_original,coordinated,H3,23,2.58,1.343,50
v1_original,coordinated,H3,24,2.46,1.526,50
v1_original,coordinated,H3,25,2.32,1.593,50
v1_original,coordinated,H3,26,2.62,1.535,50
v1_original,coordinated,H3,27,2.08,1.246,50
v1_original,coordinated,H3,28,2.16,1.206,50
v1_original,coordinated,H3,29,1.88,1.492,50
v1_original,coordinated,H3,30,1.82,1.438,50
v1_original,coordinated,H3,31,1.54,1.153,50
v1_original,coordinated,H3,32,1.46,1.187,50
v1_original,coordinated,H3,33,1.44,1.267,50
v1_original,coordinated,H3,34,1.36,1.179,50
v1_original,coordinated,H3,35,1.16,1.007,50
v1_original,coordinated,H3,36,1.06,0.925,50
v1_original,coordinated,H3,37,0.86,0.895,50
v1_original,coordinated,H3,38,0.5,0.755,50
v1_original,coordinated,H3,39,0.58,0.751,50
v3_realistic,off,H1,0,53.54,6.824,50
v3_realistic,off,H1,1,52.9,4.623,50
v3_realistic,off,H1,2,51.26,4.399,50
v3_realistic,off,H1,3,44.96,5.169,50
v3_realistic,off,H1,4,41.72,5.333,50
v3_realistic,off,H1,5,39.2,5.628,50
v3_realistic,off,H1,6,35.52,6.129,50
v3_realistic,off,H1,7,34.2,5.119,50
v3_realistic,off,H1,8,29.88,4.376,50
v3_realistic,off,H1,9,30.82,4.572,50
v3_realistic,off,H1,10,30.1,4.691,50
v3_realistic,off,H1,11,28.58,4.592,50
v3_realistic,off,H1,12,28.04,4.313,50
v3_realistic,off,H1,13,27.2,4.28,50
v3_realistic,off,H1,14,26.1,4.579,50
v3_realistic,off,H1,15,25.24,4.412,50
v3_realistic,off,H1,16,25.26,3.735,50
v3_realistic,off,H1,17,23.36,4.232,50
v3_realistic,off,H1,18,22.78,4.415,50
v3_realistic,off,H1,19,22.34,4.306,50
v3_realistic,off,H1,20,22.2,3.633,50
v3_realistic,off,H1,21,20.54,3.568,50
v3_realistic,off,H1,22,21.52,3.551,50
v3_realistic,off,H1,23,20.6,4.804,50
v3_realistic,off,H1,24,19.58,3.731,50
v3_realistic,off,H1,25,19.34,3.302,50
v3_realistic,off,H1,26,19.62,3.919,50
v3_realistic,off,H1,27,17.52,3.041,50
v3_realistic,off,H1,28,17.0,3.555,50
v3_realistic,off,H1,29,15.62,3.117,50
v3_realistic,off,H1,30,15.22,4.134,50
v3_realistic,off,H1,31,14.24,3.755,50
v3_realistic,off,H1,32,12.46,3.106,50
v3_realistic,off,H1,33,10.24,2.79,50
v3_realistic,off,H1,34,9.66,3.089,50
v3_realistic,off,H1,35,8.64,2.415,50
v3_realistic,off,H1,36,7.34,2.346,50
v3_realistic,off,H1,37,6.14,2.307,50
v3_realistic,off,H1,38,5.22,2.564,50
v3_realistic,off,H1,39,4.86,2.28,50
v3_realistic,off,H2,0,54.04,5.314,50
v3_realistic,off,H2,1,50.78,5.661,50
v3_realistic,off,H2,2,50.6,5.418,50
v3_realistic,off,H2,3,45.04,5.173,50
v3_realistic,off,H2,4,41.86,4.821,50
v3_realistic,off,H2,5,39.46,4.64,50
v3_realistic,off,H2,6,34.08,4.812,50
v3_realistic,off,H2,7,33.4,4.499,50
v3_realistic,off,H2,8,29.68,4.306,50
v3_realistic,off,H2,9,29.6,4.72,50
v3_realistic,off,H2,10,29.18,4.832,50
v3_realistic,off,H2,11,28.26,3.492,50
v3_realistic,off,H2,12,27.14,3.639,50
v3_realistic,off,H2,13,27.14,4.28,50
v3_realistic,off,H2,14,26.62,4.223,50
v3_realistic,off,H2,15,24.18,4.367,50
v3_realistic,off,H2,16,24.5,4.365,50
v3_realistic,off,H2,17,24.0,4.754,50
v3_realistic,off,H2,18,23.1,3.801,50
v3_realistic,off,H2,19,22.8,2.857,50
v3_realistic,off,H2,20,19.92,4.48,50
v3_realistic,off,H2,21,20.28,3.02,50
v3_realistic,off,H2,22,20.86,3.341,50
v3_realistic,off,H2,23,20.68,2.969,50
v3_realistic,off,H2,24,20.52,3.46,50
v3_realistic,off,H2,25,20.48,4.061,50
v3_realistic,off,H2,26,18.54,3.312,50
v3_realistic,off,H2,27,17.04,2.683,50
v3_realistic,off,H2,28,17.24,3.121,50
v3_realistic,off,H2,29,15.4,3.169,50
v3_realistic,off,H2,30,13.8,2.623,50
v3_realistic,off,H2,31,13.2,2.905,50
v3_realistic,off,H2,32,12.12,2.651,50
v3_realistic,off,H2,33,11.08,3.346,50
v3_realistic,off,H2,34,9.7,2.795,50
v3_realistic,off,H2,35,8.58,2.808,50
v3_realistic,off,H2,36,6.9,2.229,50
v3_realistic,off,H2,37,6.48,2.3,50
v3_realistic,off,H2,38,4.88,2.414,50
v3_realistic,off,H2,39,4.52,2.002,50
v3_realistic,off,H3,0,52.88,5.421,50
v3_realistic,off,H3,1,53.42,4.631,50
v3_realistic,off,H3,2,51.18,5.09,50
v3_realistic,off,H3,3,43.3,4.73,50
v3_realistic,off,H3,4,41.34,5.179,50
v3_realistic,off,H3,5,37.58,4.618,50
v3_realistic,off,H3,6,35.32,5.05,50
v3_realistic,off,H3,7,32.48,4.496,50
v3_realistic,off,H3,8,31.66,4.297,50
v3_realistic,off,H3,9,30.2,4.534,50
v3_realistic,off,H3,10,29.76,3.766,50
v3_realistic,off,H3,11,28.36,4.922,50
v3_realistic,off,H3,12,28.16,4.843,50
v3_realistic,off,H3,13,26.82,4.146,50
v3_realistic,off,H3,14,26.46,4.583,50
v3_realistic,off,H3,15,25.92,4.078,50
v3_realistic,off,H3,16,25.28,4.147,50
v3_realistic,off,H3,17,23.02,3.86,50
v3_realistic,off,H3,18,23.06,4.263,50
v3_realistic,off,H3,19,22.04,4.03,50
v3_realistic,off,H3,20,21.48,3.843,50
v3_realistic,off,H3,21,22.42,3.528,50
v3_realistic,off,H3,22,20.92,3.836,50
v3_realistic,off,H3,23,21.4,4.733,50
v3_realistic,off,H3,24,20.66,3.866,50
v3_realistic,off,H3,25,18.9,3.785,50
v3_realistic,off,H3,26,19.2,4.01,50
v3_realistic,off,H3,27,16.84,3.679,50
v3_realistic,off,H3,28,17.2,3.985,50
v3_realistic,off,H3,29,15.44,3.06,50
v3_realistic,off,H3,30,13.76,2.832,50
v3_realistic,off,H3,31,13.26,3.778,50
v3_realistic,off,H3,32,12.06,3.385,50
v3_realistic,off,H3,33,10.9,2.419,50
v3_realistic,off,H3,34,10.6,2.871,50
v3_realistic,off,H3,35,9.28,2.638,50
v3_realistic,off,H3,36,7.72,2.154,50
v3_realistic,off,H3,37,6.44,2.351,50
v3_realistic,off,H3,38,5.84,1.891,50
v3_realistic,off,H3,39,4.66,2.055,50
v3_realistic,individual,H1,0,54.14,6.456,50
v3_realistic,individual,H1,1,51.3,4.482,50
v3_realistic,individual,H1,2,50.74,4.919,50
v3_realistic,individual,H1,3,44.26,5.61,50
v3_realistic,individual,H1,4,41.52,5.189,50
v3_realistic,individual,H1,5,37.8,4.543,50
v3_realistic,individual,H1,6,35.3,4.734,50
v3_realistic,individual,H1,7,32.56,3.226,50
v3_realistic,individual,H1,8,30.76,4.241,50
v3_realistic,individual,H1,9,29.6,4.414,50
v3_realistic,individual,H1,10,28.88,4.68,50
v3_realistic,individual,H1,11,28.22,4.168,50
v3_realistic,individual,H1,12,28.58,4.196,50
v3_realistic,individual,H1,13,27.48,3.269,50
v3_realistic,individual,H1,14,24.66,3.697,50
v3_realistic,individual,H1,15,25.36,3.954,50
v3_realistic,individual,H1,16,24.34,4.092,50
v3_realistic,individual,H1,17,23.66,3.587,50
v3_realistic,individual,H1,18,21.52,4.105,50
v3_realistic,individual,H1,19,20.68,4.076,50
v3_realistic,individual,H1,20,18.94,4.037,50
v3_realistic,individual,H1,21,19.78,4.1,50
v3_realistic,individual,H1,22,18.32,3.449,50
v3_realistic,individual,H1,23,18.16,3.859,50
v3_realistic,individual,H1,24,18.16,3.529,50
v3_realistic,individual,H1,25,17.68,2.956,50
v3_realistic,individual,H1,26,15.86,3.71,50
v3_realistic,individual,H1,27,14.9,3.425,50
v3_realistic,individual,H1,28,13.42,2.974,50
v3_realistic,individual,H1,29,12.14,2.561,50
v3_realistic,individual,H1,30,11.1,3.195,50
v3_realistic,individual,H1,31,9.94,2.753,50
v3_realistic,individual,H1,32,9.1,2.476,50
v3_realistic,individual,H1,33,8.52,2.914,50
v3_realistic,individual,H1,34,7.48,2.968,50
v3_realistic,individual,H1,35,7.02,2.267,50
v3_realistic,individual,H1,36,6.12,2.703,50
v3_realistic,individual,H1,37,5.08,2.106,50
v3_realistic,individual,H1,38,4.28,1.877,50
v3_realistic,individual,H1,39,4.12,1.693,50
v3_realistic,individual,H2,0,53.7,3.915,50
v3_realistic,individual,H2,1,50.92,6.428,50
v3_realistic,individual,H2,2,50.74,5.418,50
v3_realistic,individual,H2,3,44.0,5.664,50
v3_realistic,individual,H2,4,42.1,4.206,50
v3_realistic,individual,H2,5,37.74,4.787,50
v3_realistic,individual,H2,6,34.86,5.204,50
v3_realistic,individual,H2,7,32.7,4.7,50
v3_realistic,individual,H2,8,30.9,4.263,50
v3_realistic,individual,H2,9,28.84,3.972,50
v3_realistic,individual,H2,10,29.36,4.564,50
v3_realistic,individual,H2,11,28.28,4.423,50
v3_realistic,individual,H2,12,27.54,4.276,50
v3_realistic,individual,H2,13,26.28,4.167,50
v3_realistic,individual,H2,14,25.02,5.105,50
v3_realistic,individual,H2,15,24.6,3.731,50
v3_realistic,individual,H2,16,23.8,3.826,50
v3_realistic,individual,H2,17,23.1,4.095,50
